"","level","Muerte","Alta","p","test"
"n","","  204","  329","",""
"Edad (mean (SD))","","67.41 (12.99)","57.71 (15.13)","<0.001",""
"Edad-2 (%)","> 60 años","  148 ( 72.5) ","  146 ( 44.4) ","<0.001",""
"","<= 60 años","   56 ( 27.5) ","  183 ( 55.6) ","",""
"SEXO (%)","Masculino","  146 ( 71.6) ","  230 ( 69.9) "," 0.756",""
"","Femenino","   58 ( 28.4) ","   99 ( 30.1) ","",""
"Diagnóstico (%)","CONFIRMADO","  204 (100.0) ","  329 (100.0) "," NA",""
"HTA (%)","Si","   71 ( 34.8) ","   96 ( 29.2) "," 0.206",""
"","No","  133 ( 65.2) ","  233 ( 70.8) ","",""
"DM (%)","Si","   42 ( 20.6) ","   75 ( 22.8) "," 0.623",""
"","No","  162 ( 79.4) ","  254 ( 77.2) ","",""
"NM-G (%)","Si","    4 (  2.0) ","    4 (  1.2) "," 0.748",""
"","No","  200 ( 98.0) ","  325 ( 98.8) ","",""
"CIRR (%)","Si","    2 (  1.0) ","    1 (  0.3) "," 0.675",""
"","No","  202 ( 99.0) ","  328 ( 99.7) ","",""
"ERC-G (%)","Si","   19 (  9.3) ","   17 (  5.2) "," 0.094",""
"","No","  185 ( 90.7) ","  312 ( 94.8) ","",""
"ERC-V (%)","Si","   12 (  5.9) ","   13 (  4.0) "," 0.416",""
"","No","  192 ( 94.1) ","  316 ( 96.0) ","",""
"HIPOT (%)","Si","    4 (  2.0) ","    4 (  1.2) "," 0.748",""
"","No","  200 ( 98.0) ","  325 ( 98.8) ","",""
"OBES (%)","Si","   18 (  8.8) ","   18 (  5.5) "," 0.186",""
"","No","  186 ( 91.2) ","  311 ( 94.5) ","",""
"FA (%)","Si","    8 (  3.9) ","    4 (  1.2) "," 0.081",""
"","No","  196 ( 96.1) ","  325 ( 98.8) ","",""
"Asma (%)","Si","    9 (  4.4) ","    8 (  2.4) "," 0.312",""
"","No","  195 ( 95.6) ","  321 ( 97.6) ","",""
"Severidad (%)","Leve","   11 (  5.7) ","   51 ( 16.2) ","<0.001",""
"","Moderado","   27 ( 13.9) ","  125 ( 39.7) ","",""
"","Severo","   90 ( 46.4) ","   89 ( 28.3) ","",""
"","Crítico","   66 ( 34.0) ","   50 ( 15.9) ","",""
"Desenlace (%)","Muerte","  204 (100.0) ","    0 (  0.0) ","<0.001",""
"","Alta","    0 (  0.0) ","  329 (100.0) ","",""
"F-Ingreso2 (%)","01/04/2020","    0 (  0.0) ","    5 (  1.5) "," 0.377",""
"","01/05/2020","    7 (  3.4) ","    4 (  1.2) ","",""
"","02/04/2020","    2 (  1.0) ","    1 (  0.3) ","",""
"","02/05/2020","    4 (  2.0) ","   18 (  5.5) ","",""
"","03/04/2020","    2 (  1.0) ","    3 (  0.9) ","",""
"","03/05/2020","    5 (  2.5) ","    9 (  2.7) ","",""
"","04/04/2020","    1 (  0.5) ","    5 (  1.5) ","",""
"","04/05/2020","    2 (  1.0) ","   11 (  3.3) ","",""
"","05/04/2020","    3 (  1.5) ","    5 (  1.5) ","",""
"","05/05/2020","    6 (  2.9) ","    6 (  1.8) ","",""
"","06/04/2020","    3 (  1.5) ","    7 (  2.1) ","",""
"","06/05/2020","    8 (  3.9) ","    6 (  1.8) ","",""
"","07/04/2020","    5 (  2.5) ","   10 (  3.0) ","",""
"","07/05/2020","    4 (  2.0) ","   12 (  3.6) ","",""
"","08/04/2020","    1 (  0.5) ","    9 (  2.7) ","",""
"","08/05/2020","    5 (  2.5) ","    3 (  0.9) ","",""
"","09/04/2020","    3 (  1.5) ","    3 (  0.9) ","",""
"","09/05/2020","    3 (  1.5) ","    2 (  0.6) ","",""
"","10/04/2020","    3 (  1.5) ","    5 (  1.5) ","",""
"","10/05/2020","    2 (  1.0) ","    3 (  0.9) ","",""
"","11/04/2020","    8 (  3.9) ","   11 (  3.3) ","",""
"","11/05/2020","    0 (  0.0) ","    3 (  0.9) ","",""
"","12/04/2020","    4 (  2.0) ","    5 (  1.5) ","",""
"","12/05/2020","    3 (  1.5) ","    3 (  0.9) ","",""
"","13/04/2020","    8 (  3.9) ","   12 (  3.6) ","",""
"","13/05/2020","    0 (  0.0) ","    3 (  0.9) ","",""
"","14/04/2020","    4 (  2.0) ","   11 (  3.3) ","",""
"","14/05/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","15/04/2020","    5 (  2.5) ","    8 (  2.4) ","",""
"","16/04/2020","    2 (  1.0) ","    6 (  1.8) ","",""
"","17/04/2020","    5 (  2.5) ","    7 (  2.1) ","",""
"","18/04/2020","    7 (  3.4) ","    5 (  1.5) ","",""
"","19/04/2020","    5 (  2.5) ","    6 (  1.8) ","",""
"","20/04/2020","    4 (  2.0) ","   12 (  3.6) ","",""
"","21/03/2020","    1 (  0.5) ","    2 (  0.6) ","",""
"","21/04/2020","    7 (  3.4) ","   12 (  3.6) ","",""
"","22/03/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","22/04/2020","    3 (  1.5) ","    9 (  2.7) ","",""
"","23/03/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","23/04/2020","    4 (  2.0) ","    5 (  1.5) ","",""
"","24/03/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","24/04/2020","    8 (  3.9) ","   12 (  3.6) ","",""
"","25/03/2020","    1 (  0.5) ","    3 (  0.9) ","",""
"","25/04/2020","    8 (  3.9) ","   10 (  3.0) ","",""
"","26/03/2020","    1 (  0.5) ","    1 (  0.3) ","",""
"","26/04/2020","    6 (  2.9) ","    2 (  0.6) ","",""
"","27/03/2020","    3 (  1.5) ","    0 (  0.0) ","",""
"","27/04/2020","    6 (  2.9) ","    4 (  1.2) ","",""
"","28/03/2020","    1 (  0.5) ","    2 (  0.6) ","",""
"","28/04/2020","    6 (  2.9) ","    8 (  2.4) ","",""
"","29/03/2020","    3 (  1.5) ","   10 (  3.0) ","",""
"","29/04/2020","    9 (  4.4) ","   13 (  4.0) ","",""
"","30/03/2020","    2 (  1.0) ","    2 (  0.6) ","",""
"","30/04/2020","    6 (  2.9) ","    8 (  2.4) ","",""
"","31/03/2020","    2 (  1.0) ","    6 (  1.8) ","",""
"F-Desenlace (%)","01/04/2020","    2 (  1.0) ","    1 (  0.3) "," 0.022",""
"","01/05/2020","    6 (  2.9) ","    5 (  1.5) ","",""
"","02/04/2020","    1 (  0.5) ","    3 (  0.9) ","",""
"","02/05/2020","    5 (  2.5) ","    6 (  1.8) ","",""
"","02/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","03/04/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","03/05/2020","   10 (  4.9) ","   14 (  4.3) ","",""
"","03/06/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","04/04/2020","    1 (  0.5) ","    2 (  0.6) ","",""
"","04/05/2020","    4 (  2.0) ","   14 (  4.3) ","",""
"","04/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","05/04/2020","    0 (  0.0) ","    2 (  0.6) ","",""
"","05/05/2020","    4 (  2.0) ","   10 (  3.0) ","",""
"","05/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","06/04/2020","    1 (  0.5) ","    2 (  0.6) ","",""
"","06/05/2020","    5 (  2.5) ","    1 (  0.3) ","",""
"","07/04/2020","    0 (  0.0) ","    6 (  1.8) ","",""
"","07/05/2020","    6 (  2.9) ","    2 (  0.6) ","",""
"","08/04/2020","    4 (  2.0) ","    1 (  0.3) ","",""
"","08/05/2020","    6 (  2.9) ","   17 (  5.2) ","",""
"","08/07/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","09/04/2020","    2 (  1.0) ","   10 (  3.0) ","",""
"","09/05/2020","    5 (  2.5) ","    9 (  2.7) ","",""
"","09/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","10/04/2020","    1 (  0.5) ","    4 (  1.2) ","",""
"","10/05/2020","    8 (  3.9) ","    2 (  0.6) ","",""
"","11/04/2020","    2 (  1.0) ","   12 (  3.6) ","",""
"","11/05/2020","    7 (  3.4) ","   11 (  3.3) ","",""
"","11/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","12/04/2020","    3 (  1.5) ","    6 (  1.8) ","",""
"","12/05/2020","    4 (  2.0) ","    7 (  2.1) ","",""
"","12/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","13/04/2020","    2 (  1.0) ","    6 (  1.8) ","",""
"","13/05/2020","    5 (  2.5) ","    7 (  2.1) ","",""
"","14/04/2020","    1 (  0.5) ","    8 (  2.4) ","",""
"","14/05/2020","    9 (  4.4) ","   11 (  3.3) ","",""
"","15/04/2020","    0 (  0.0) ","   11 (  3.3) ","",""
"","15/05/2020","    5 (  2.5) ","    4 (  1.2) ","",""
"","16/04/2020","    1 (  0.5) ","    5 (  1.5) ","",""
"","16/05/2020","    3 (  1.5) ","    3 (  0.9) ","",""
"","17/04/2020","    4 (  2.0) ","    6 (  1.8) ","",""
"","17/05/2020","    3 (  1.5) ","    1 (  0.3) ","",""
"","18/04/2020","    4 (  2.0) ","    7 (  2.1) ","",""
"","18/05/2020","    1 (  0.5) ","    4 (  1.2) ","",""
"","19/04/2020","    3 (  1.5) ","    5 (  1.5) ","",""
"","19/05/2020","    1 (  0.5) ","    2 (  0.6) ","",""
"","20/04/2020","    4 (  2.0) ","    7 (  2.1) ","",""
"","20/05/2020","    0 (  0.0) ","    3 (  0.9) ","",""
"","21/04/2020","    5 (  2.5) ","    5 (  1.5) ","",""
"","21/05/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","22/04/2020","    4 (  2.0) ","    2 (  0.6) ","",""
"","22/05/2020","    1 (  0.5) ","    3 (  0.9) ","",""
"","22/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","23/04/2020","    6 (  2.9) ","   12 (  3.6) ","",""
"","23/05/2020","    0 (  0.0) ","    2 (  0.6) ","",""
"","24/04/2020","    8 (  3.9) ","   13 (  4.0) ","",""
"","24/05/2020","    2 (  1.0) ","    0 (  0.0) ","",""
"","25/04/2020","    4 (  2.0) ","   13 (  4.0) ","",""
"","25/05/2020","    1 (  0.5) ","    1 (  0.3) ","",""
"","25/06/2020","    0 (  0.0) ","    1 (  0.3) ","",""
"","26/03/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","26/04/2020","    4 (  2.0) ","    4 (  1.2) ","",""
"","27/03/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","27/04/2020","    5 (  2.5) ","   10 (  3.0) ","",""
"","27/05/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","28/04/2020","    2 (  1.0) ","    1 (  0.3) ","",""
"","28/05/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","28/06/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","29/04/2020","   11 (  5.4) ","    4 (  1.2) ","",""
"","30/03/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"","30/04/2020","    7 (  3.4) ","   11 (  3.3) ","",""
"","31/03/2020","    2 (  1.0) ","    1 (  0.3) ","",""
"","31/05/2020","    1 (  0.5) ","    0 (  0.0) ","",""
"Estancia (mean (SD))",""," 9.42 (8.30)"," 8.49 (10.62)"," 0.289",""
